country,region,year,birthrate,businesstaxrate,co2emissions,daystostartbusiness,easeofbusiness,energyusage,gdp,gdppercapita,healthexpgdp,healthexpcapita,hourstodotax,infantmortalityrate,internetusage,lendinginterest,lifeexpectancy,lifeexpectancyfemale,lifeexpectancymale,mobilephoneusage,numberofrecords,population0-14,population15-64,population65+,populationtotal,populationurban,tourisminbound,tourismoutbound
Switzerland,Europe,12/1/2002,0.01,,40718,,,25888,$287B,"$39,397 ",10.60%,"$4,190 ",,0.005,0.61,0.039,81,83,78,79%,1,0.171,0.675,0.155,7.3M,73.40%,$9B,$7B
Türkiye,Europe,12/1/2002,0.02,,205678,,,74248,$233B,"$3,583 ",5.40%,$180 ,,0.03,0.11,,72,75,68,36%,1,0.297,0.64,0.063,65.0M,66.00%,$12B,$2B
Ukraine,Europe,12/1/2002,0.01,,318684,,,135601,$42B,$879 ,6.30%,$55 ,,0.014,0.02,0.253,69,74,63,8%,1,0.162,0.692,0.145,48.2M,67.30%,$1B,$1B
United Kingdom,Europe,12/1/2002,0.01,,531939,,,218306,"$1,620B","$27,286 ",7.60%,"$2,065 ",,0.005,0.57,0.04,79,81,76,83%,1,0.186,0.656,0.158,59.4M,79.00%,$28B,$51B
Bahrain,Middle East,12/1/2002,0.02,,15698,,,6433,$10B,"$13,149 ",3.90%,$510 ,,0.01,0.18,0.084,75,76,74,53%,1,0.301,0.675,0.024,0.7M,88.40%,$1B,$1B
Iran,Middle East,12/1/2002,0.02,,402178,,,138011,$116B,"$1,713 ",5.10%,$102 ,,0.026,0.05,,71,72,69,3%,1,0.308,0.647,0.045,67.7M,65.50%,$2B,$4B
Iraq,Middle East,12/1/2002,0.04,,87260,,,27981,,,1.40%,$9 ,,0.035,0.01,,71,73,68,0%,1,0.424,0.541,0.035,25.2M,68.60%,$0B,$0B
Israel,Middle East,12/1/2002,0.02,,63146,,,18809,$113B,"$17,199 ",7.80%,"$1,334 ",,0.005,0.18,0.099,80,82,78,101%,1,0.28,0.62,0.1,6.6M,91.30%,$2B,$3B
Jordan,Middle East,12/1/2002,0.03,,16887,,,5060,$10B,"$1,902 ",9.70%,$189 ,,0.022,0.06,0.102,73,74,71,25%,1,0.39,0.579,0.031,5.0M,80.40%,$1B,$1B
Kuwait,Middle East,12/1/2002,0.02,,52753,,,20639,$38B,"$18,620 ",3.60%,$661 ,,0.011,0.10,0.065,74,74,73,60%,1,0.256,0.71,0.034,2.0M,98.10%,$0B,$3B
Lebanon,Middle East,12/1/2002,0.02,,16039,,,5220,$19B,"$5,448 ",10.00%,$546 ,,0.015,0.07,0.166,76,77,74,22%,1,0.284,0.643,0.072,3.5M,86.20%,$4B,$3B
Oman,Middle East,12/1/2002,0.02,,25471,,,8818,$20B,"$8,685 ",3.20%,$278 ,,0.013,0.07,0.085,73,75,71,20%,1,0.366,0.609,0.024,2.3M,71.50%,$1B,$1B
Qatar,Middle East,12/1/2002,0.02,,28482,,,13711,$19B,"$30,749 ",2.70%,$833 ,,0.01,0.10,,77,78,76,42%,1,0.268,0.716,0.016,0.6M,96.70%,$0B,$0B
Saudi Arabia,Middle East,12/1/2002,0.03,,326407,,,116953,$189B,"$8,660 ",4.30%,$375 ,,0.018,0.06,,73,75,71,23%,1,0.368,0.598,0.034,21.8M,80.30%,,$7B
Syria,Middle East,12/1/2002,0.03,,39068,,,16735,$22B,"$1,270 ",4.90%,$57 ,,0.018,0.02,0.09,74,76,72,2%,1,0.4,0.567,0.034,17.0M,52.70%,$1B,$1B
United Arab Emirates,Middle East,12/1/2002,0.02,,84704,,,40578,$110B,"$34,119 ",2.70%,$917 ,,0.009,0.28,,75,76,74,75%,1,0.243,0.746,0.01,3.2M,81.10%,$1B,$4B
Yemen,Middle East,12/1/2002,0.04,,15764,,,5100,$11B,$576 ,4.20%,$27 ,,0.064,0.01,0.177,61,62,60,3%,1,0.476,0.497,0.028,18.6M,27.30%,$0B,$0B
American Samoa,Oceania,12/1/2002,,,,,,,,,,,,,,,,,,4%,1,,,,0.1M,88.40%,,
Australia,Oceania,12/1/2002,0.01,,341002,,,109461,$394B,"$20,049 ",8.40%,"$1,847 ",,0.005,,0.082,80,83,77,64%,1,0.204,0.67,0.126,19.7M,87.50%,$14B,$8B
Fiji Islands,Oceania,12/1/2002,0.02,,836,,,,$2B,"$2,258 ",3.50%,$79 ,,0.02,0.06,0.081,68,71,65,11%,1,0.334,0.629,0.037,0.8M,48.70%,$0B,$0B
French Polynesia,Oceania,12/1/2002,0.02,,737,,,,,,,,,,0.08,,73,76,70,21%,1,0.303,0.652,0.045,0.2M,55.90%,$0B,$0B
Guam,Oceania,12/1/2002,0.02,,,,,,,,,,,,0.31,,76,78,73,45%,1,0.302,0.641,0.058,0.2M,93.30%,,
Kiribati,Oceania,12/1/2002,0.03,,40,,,,$0B,$842 ,8.80%,$76 ,,0.052,0.03,,66,68,63,1%,1,0.389,0.576,0.035,0.1M,43.50%,,
Marshall Islands,Oceania,12/1/2002,,,84,,,,$0B,"$2,391 ",18.20%,$418 ,,0.033,0.02,,,,,1%,1,,,,0.1M,69.00%,$0B,$0B
"Micronesia, Fed. Sts.",Oceania,12/1/2002,0.03,,147,,,,$0B,"$2,258 ",7.90%,$178 ,,0.04,0.06,0.153,68,68,67,0%,1,0.395,0.566,0.039,0.1M,22.30%,$0B,$0B
New Caledonia,Oceania,12/1/2002,0.02,,2428,,,,,,,,,,0.22,,75,79,71,37%,1,0.281,0.657,0.062,0.2M,62.60%,$0B,$0B
New Zealand,Oceania,12/1/2002,0.01,,33201,,,17119,$66B,"$16,721 ",8.00%,"$1,244 ",,0.006,0.59,0.072,79,81,77,62%,1,0.223,0.659,0.118,3.9M,85.90%,$3B,$1B
Papua New Guinea,Oceania,12/1/2002,0.03,,3513,,,,$3B,$530 ,4.60%,$24 ,,0.057,0.01,0.139,60,62,57,0%,1,0.402,0.573,0.025,5.7M,13.20%,$0B,$0B
Samoa,Oceania,12/1/2002,0.03,,143,,,,$0B,"$1,454 ",5.50%,$83 ,,0.018,0.02,0.114,70,73,67,2%,1,0.404,0.55,0.046,0.2M,21.90%,$0B,
Solomon Islands,Oceania,12/1/2002,0.04,,172,,,,$0B,$786 ,6.10%,$48 ,,0.029,0.01,0.146,65,66,63,0%,1,0.416,0.555,0.029,0.4M,16.60%,$0B,$0B
Tonga,Oceania,12/1/2002,0.03,,147,,,,$0B,"$1,835 ",5.00%,$92 ,,0.015,0.03,0.114,71,73,69,3%,1,0.382,0.559,0.059,0.1M,23.10%,$0B,$0B
Vanuatu,Oceania,12/1/2002,0.03,,84,,,,$0B,"$1,354 ",3.80%,$52 ,,0.019,0.04,0.074,69,70,67,3%,1,0.408,0.56,0.033,0.2M,22.20%,$0B,$0B
Antigua and Barbuda,The Americas,12/1/2002,0.02,,363,,,,$1B,"$10,078 ",4.30%,$433 ,,0.012,0.13,0.114,74,76,71,48%,1,0.29,0.64,0.07,0.1M,31.10%,$0B,$0B
Argentina,The Americas,12/1/2002,0.02,,123266,,,55386,$124B,"$3,295 ",8.30%,$225 ,,0.017,0.11,0.517,75,78,71,18%,1,0.273,0.626,0.101,37.6M,89.50%,$2B,$3B
Aruba,The Americas,12/1/2002,0.01,,2255,,,,$2B,"$20,434 ",,,,,0.19,0.131,74,76,71,65%,1,0.225,0.695,0.079,0.1M,46.00%,$1B,$0B
"Bahamas, The",The Americas,12/1/2002,0.02,,1577,,,,$7B,"$22,515 ",5.30%,"$1,183 ",,0.013,0.18,0.06,73,76,70,39%,1,0.279,0.664,0.057,0.3M,82.10%,$2B,$0B
Barbados,The Americas,12/1/2002,0.01,,1228,,,,$3B,"$11,756 ",7.40%,$677 ,,0.015,0.28,0.085,74,76,71,36%,1,0.214,0.672,0.114,0.3M,33.50%,$1B,$0B
Belize,The Americas,12/1/2002,0.03,,359,,,,$1B,"$3,705 ",4.40%,$162 ,,0.02,0.06,0.148,72,75,68,21%,1,0.393,0.565,0.042,0.3M,47.10%,$0B,$0B
Bermuda,The Americas,12/1/2002,0.01,,524,,,,$4B,"$62,583 ",,,,,0.52,,79,81,76,47%,1,,,,0.1M,100.00%,$0B,$0B
Bolivia,The Americas,12/1/2002,0.03,,9567,,,3527,$8B,$894 ,6.50%,$58 ,,0.052,0.03,0.206,64,66,62,12%,1,0.393,0.564,0.043,8.8M,62.80%,$0B,$0B
Brazil,The Americas,12/1/2002,0.02,,332267,,,195759,$504B,"$2,809 ",7.20%,$203 ,,0.025,0.09,0.629,71,75,67,19%,1,0.287,0.655,0.057,179.4M,81.90%,$2B,$3B
Canada,The Americas,12/1/2002,0.01,,519163,,,248220,$753B,"$24,010 ",9.60%,"$2,254 ",,0.005,0.62,0.042,80,82,77,38%,1,0.186,0.687,0.128,31.4M,79.90%,$13B,$14B
Cayman Islands,The Americas,12/1/2002,,,469,,,,,,,,,,,,,,,43%,1,,,,0.0M,100.00%,$1B,
Chile,The Americas,12/1/2002,0.02,,55361,,,25568,$71B,"$4,487 ",7.50%,$331 ,,0.008,0.22,0.078,78,81,75,40%,1,0.267,0.658,0.075,15.8M,86.60%,$1B,$1B
Colombia,The Americas,12/1/2002,0.02,,55661,,,25205,$98B,"$2,376 ",5.70%,$135 ,,0.02,0.05,0.163,72,75,68,11%,1,0.32,0.631,0.049,41.2M,72.70%,$1B,$1B
Costa Rica,The Americas,12/1/2002,0.02,,6326,,,3073,$17B,"$4,115 ",8.00%,$332 ,,0.01,0.20,0.264,78,80,76,12%,1,0.3,0.644,0.056,4.1M,61.80%,$1B,$0B
Cuba,The Americas,12/1/2002,0.01,,26091,,,11729,$34B,"$2,996 ",6.50%,$195 ,,0.006,0.04,,77,79,75,0%,1,0.209,0.689,0.103,11.2M,75.80%,$2B,
Curacao,The Americas,12/1/2002,,,,,,,,,,,,,,,,,,,1,0.234,0.656,0.11,0.1M,90.90%,$0B,$0B
Dominica,The Americas,12/1/2002,0.02,,103,,,,$0B,"$4,684 ",5.10%,$237 ,,0.013,0.18,0.11,77,79,75,17%,1,,,,0.1M,65.70%,$0B,$0B
Dominican Republic,The Americas,12/1/2002,0.02,,21500,,,7476,$27B,"$2,974 ",6.30%,$176 ,,0.032,0.07,0.261,71,74,68,19%,1,0.342,0.604,0.054,8.9M,63.40%,$3B,$0B
Ecuador,The Americas,12/1/2002,0.03,,24690,,,9177,$29B,"$2,191 ",4.80%,$105 ,,0.026,0.04,0.158,74,77,71,12%,1,0.338,0.609,0.053,13.0M,61.10%,$0B,$1B
El Salvador,The Americas,12/1/2002,0.02,,6040,,,4232,$14B,"$2,381 ",7.70%,$184 ,,0.024,0.02,,70,75,65,15%,1,0.374,0.568,0.058,6.0M,60.00%,$1B,$0B
Greenland,The Americas,12/1/2002,0.02,,539,,,,$1B,"$20,653 ",,,,,0.44,,68,71,65,35%,1,,,,0.1M,82.10%,,
Grenada,The Americas,12/1/2002,0.02,,205,,,,$1B,"$5,332 ",6.60%,$353 ,,0.013,0.15,0.113,71,73,68,7%,1,0.33,0.592,0.077,0.1M,36.10%,$0B,$0B
Guatemala,The Americas,12/1/2002,0.04,,11096,,,7248,$21B,"$1,766 ",6.20%,$110 ,,0.037,0.03,0.169,69,72,65,13%,1,0.438,0.521,0.042,11.8M,45.90%,$1B,$0B
Guyana,The Americas,12/1/2002,0.02,,1580,,,,$1B,$962 ,5.80%,$56 ,,0.037,,0.163,64,67,60,11%,1,0.358,0.6,0.042,0.8M,28.50%,$0B,$0B
Haiti,The Americas,12/1/2002,0.03,,1826,,,2309,$3B,$363 ,5.50%,$20 ,,0.071,0.01,0.342,58,60,56,2%,1,0.394,0.566,0.04,8.9M,38.90%,$0B,$0B
Honduras,The Americas,12/1/2002,0.03,,6091,,,3380,$8B,"$1,197 ",7.30%,$88 ,,0.029,0.03,0.227,71,73,69,5%,1,0.414,0.545,0.04,6.5M,46.60%,$0B,$0B
Jamaica,The Americas,12/1/2002,0.02,,10301,,,3586,$10B,"$3,716 ",4.90%,$180 ,,0.019,0.06,0.185,71,74,68,47%,1,0.321,0.604,0.076,2.6M,52.30%,$1B,$0B
Mexico,The Americas,12/1/2002,0.02,,391251,,,150843,$742B,"$6,953 ",5.60%,$396 ,,0.019,0.12,0.082,75,77,72,24%,1,0.334,0.615,0.051,106.7M,75.40%,$10B,$7B
Nicaragua,The Americas,12/1/2002,0.03,,4037,,,2636,$5B,$995 ,5.70%,$57 ,,0.03,0.02,0.183,71,74,68,5%,1,0.397,0.565,0.039,5.2M,55.20%,$0B,$0B
Panama,The Americas,12/1/2002,0.02,,5871,,,2625,$12B,"$3,861 ",8.00%,$310 ,,0.021,0.09,0.106,76,78,73,17%,1,0.316,0.627,0.057,3.2M,62.80%,$1B,$0B
Paraguay,The Americas,12/1/2002,0.03,,3898,,,3885,$6B,"$1,135 ",7.00%,$79 ,,0.026,0.02,0.387,71,73,69,30%,1,0.372,0.582,0.045,5.6M,56.60%,$0B,$0B
Peru,The Americas,12/1/2002,0.02,,27187,,,11873,$54B,"$2,020 ",4.80%,$102 ,,0.026,0.09,0.208,72,74,69,9%,1,0.333,0.617,0.051,26.7M,73.90%,$1B,$1B
Puerto Rico,The Americas,12/1/2002,0.01,,,,,,$73B,"$18,973 ",,,,,0.18,,78,82,74,43%,1,0.23,0.653,0.117,3.8M,94.30%,$2B,$1B
Sint Maarten (Dutch part),The Americas,12/1/2002,,,,,,,,,,,,,,,,,,,1,,,,0.0M,100.00%,$0B,$0B
St. Kitts and Nevis,The Americas,12/1/2002,0.02,,198,,,,$0B,"$10,186 ",3.70%,$374 ,,0.012,0.21,0.109,72,74,69,11%,1,,,,0.0M,32.40%,$0B,$0B
St. Lucia,The Americas,12/1/2002,0.02,,326,,,,$1B,"$4,513 ",6.40%,$289 ,,0.015,0.15,0.126,72,74,70,9%,1,0.308,0.619,0.073,0.2M,26.30%,$0B,$0B
St. Martin (French part),The Americas,12/1/2002,0.02,,,,,,,,,,,,,,78,81,74,,1,,,,0.0M,,,
St. Vincent and the Grenadines,The Americas,12/1/2002,0.02,,187,,,,$0B,"$4,278 ",3.90%,$168 ,,0.019,0.06,0.116,71,73,68,9%,1,0.302,0.627,0.071,0.1M,45.90%,$0B,$0B
Suriname,The Americas,12/1/2002,0.02,,2252,,,,$1B,"$2,246 ",7.10%,$161 ,,0.029,0.04,0.222,69,72,65,23%,1,0.303,0.639,0.059,0.5M,66.60%,$0B,$0B
Trinidad and Tobago,The Americas,12/1/2002,0.02,,26890,,,12540,$9B,"$7,050 ",5.00%,$352 ,,0.025,0.22,0.125,69,73,65,21%,1,0.238,0.694,0.068,1.3M,10.40%,$0B,$0B
Turks and Caicos Islands,The Americas,12/1/2002,,,99,,,,,,,,,,,,,,,,1,,,,0.0M,86.00%,$0B,
United States,The Americas,12/1/2002,0.01,,5650950,,,2255957,"$11,000B","$38,244 ",15.10%,"$5,578 ",,0.007,0.59,0.047,77,80,74,49%,1,0.21,0.667,0.123,287.6M,79.40%,$104B,$82B
Uruguay,The Americas,12/1/2002,0.02,,4620,,,2538,$14B,"$4,089 ",11.00%,$449 ,,0.014,0.11,1.184,75,79,71,15%,1,0.243,0.624,0.133,3.3M,92.60%,$0B,$0B
Venezuela,The Americas,12/1/2002,0.02,,193262,,,57515,$93B,"$3,667 ",5.70%,$207 ,,0.017,0.05,0.366,73,76,70,26%,1,0.327,0.625,0.047,25.3M,88.40%,$0B,$2B
Algeria,Africa,12/1/2003,0.02,,92533,25,,30698,$68B,"$2,056 ",3.60%,$74 ,,0.031,0.02,0.081,70,71,68,4%,1,0.307,0.651,0.042,33.0M,62.30%,$0B,$0B
Angola,Africa,12/1/2003,0.05,,9065,119,,9004,$14B,$920 ,4.90%,$45 ,,0.125,0.00,0.961,48,49,46,2%,1,0.477,0.498,0.025,15.4M,34.60%,$0B,$0B
Benin,Africa,12/1/2003,0.04,,2321,32,,2386,$4B,$464 ,4.60%,$21 ,,0.082,0.01,,57,58,55,3%,1,0.449,0.522,0.028,7.7M,39.30%,$0B,$0B
Botswana,Africa,12/1/2003,0.03,,4265,107,,1907,$8B,"$4,099 ",4.30%,$190 ,,0.051,0.03,0.164,48,48,47,24%,1,0.367,0.602,0.031,1.8M,54.60%,$0B,$0B
Burkina Faso,Africa,12/1/2003,0.05,,1078,40,,,$4B,$332 ,5.50%,$19 ,,0.091,0.00,,52,53,51,2%,1,0.466,0.508,0.026,12.7M,20.00%,$0B,$0B
Burundi,Africa,12/1/2003,0.04,,165,13,,,$1B,$108 ,7.20%,$6 ,,0.082,0.00,0.182,49,50,48,1%,1,0.468,0.504,0.028,7.3M,8.90%,$0B,$0B
Cameroon,Africa,12/1/2003,0.04,,3795,45,,6766,$14B,$791 ,4.90%,$39 ,,0.084,0.01,0.18,52,53,51,6%,1,0.447,0.52,0.033,17.2M,47.30%,$0B,$0B
Central African Republic,Africa,12/1/2003,0.04,,235,22,,,$1B,$298 ,4.40%,$13 ,,0.112,0.00,0.18,45,46,43,1%,1,0.421,0.539,0.04,3.8M,37.90%,$0B,$0B
Chad,Africa,12/1/2003,0.05,,381,64,,,$3B,$294 ,5.80%,$17 ,,0.103,0.00,0.18,47,48,46,1%,1,0.492,0.481,0.027,9.3M,21.70%,,
Comoros,Africa,12/1/2003,0.04,,99,,,,$0B,$569 ,3.60%,$21 ,,0.072,0.01,0.118,59,60,57,0%,1,0.414,0.556,0.03,0.6M,27.90%,$0B,$0B
Congo (Kinshasa),Africa,12/1/2003,0.05,,1698,166,,18503,$9B,$175 ,5.10%,$6 ,,0.111,0.00,,48,49,46,2%,1,0.464,0.508,0.028,51.0M,36.50%,,
Congo (Brazzaville),Africa,12/1/2003,0.04,,1085,37,,999,$3B,"$1,039 ",2.60%,$27 ,,0.07,0.01,0.18,53,54,52,10%,1,0.421,0.544,0.036,3.4M,60.10%,$0B,$0B
Cote d'Ivoire,Africa,12/1/2003,0.04,,5460,62,,6578,$14B,$812 ,5.10%,$42 ,,0.094,0.01,,47,47,46,8%,1,0.422,0.548,0.029,16.9M,45.50%,$0B,$1B
Djibouti,Africa,12/1/2003,0.03,,407,,,,$1B,$824 ,6.20%,$50 ,,0.075,0.01,0.113,58,59,56,3%,1,0.39,0.578,0.032,0.8M,76.70%,$0B,$0B
Egypt,Africa,12/1/2003,0.02,,147963,37,,48971,$83B,"$1,194 ",5.60%,$56 ,,0.029,0.04,0.135,70,72,67,8%,1,0.335,0.61,0.054,69.4M,42.90%,$5B,$1B
Equatorial Guinea,Africa,12/1/2003,0.04,,6018,,,,$2B,"$4,370 ",2.00%,$101 ,,0.092,0.01,0.18,48,49,47,7%,1,0.415,0.551,0.034,0.6M,38.80%,,
Eritrea,Africa,12/1/2003,0.04,,726,,,804,$1B,$195 ,3.20%,$6 ,,0.051,,,58,60,55,,1,0.446,0.535,0.019,4.5M,18.30%,$0B,
Ethiopia,Africa,12/1/2003,0.04,,4947,46,,27648,$8B,$118 ,4.90%,$6 ,,0.079,0.00,0.07,55,55,54,0%,1,0.465,0.504,0.031,72.0M,15.30%,$0B,$0B
Gabon,Africa,12/1/2003,0.03,,1335,,,1593,$6B,"$4,602 ",3.80%,$174 ,,0.053,0.03,0.18,60,61,58,23%,1,0.399,0.543,0.057,1.3M,82.20%,$0B,$0B
"Gambia, The",Africa,12/1/2003,0.05,,315,,,,$0B,$361 ,4.20%,$15 ,,0.059,0.02,0.293,56,57,55,11%,1,0.459,0.515,0.026,1.3M,50.60%,$0B,$0B
Ghana,Africa,12/1/2003,0.03,,7631,22,,8226,$8B,$376 ,4.80%,$18 ,,0.06,0.01,,58,59,57,4%,1,0.407,0.561,0.032,20.3M,46.00%,$0B,$0B
Guinea,Africa,12/1/2003,0.04,,1342,40,,,$3B,$374 ,4.90%,$18 ,,0.092,0.01,,52,52,52,1%,1,0.438,0.529,0.033,9.2M,32.10%,,$0B
Guinea-Bissau,Africa,12/1/2003,0.04,,194,,,,$0B,$342 ,5.80%,$20 ,,0.101,0.01,,52,53,51,0%,1,0.431,0.539,0.03,1.4M,39.20%,$0B,$0B
Kenya,Africa,12/1/2003,0.04,,6755,60,,14769,$15B,$440 ,4.40%,$20 ,,0.065,0.03,0.166,53,54,52,5%,1,0.432,0.541,0.028,33.9M,20.90%,$1B,$0B
Lesotho,Africa,12/1/2003,0.03,,,93,,,$1B,$510 ,7.10%,$36 ,,0.083,0.02,0.16,44,44,44,7%,1,0.404,0.55,0.046,1.9M,21.10%,$0B,$0B
Liberia,Africa,12/1/2003,0.04,,532,,,,$0B,$131 ,3.40%,$5 ,,0.097,0.00,0.171,54,54,53,2%,1,0.432,0.537,0.03,3.1M,45.40%,,
Libya,Africa,12/1/2003,0.02,,49167,,,17441,$24B,"$4,437 ",4.10%,$194 ,,0.022,0.03,0.07,73,75,71,2%,1,0.315,0.644,0.041,5.4M,76.70%,$0B,$1B
Madagascar,Africa,12/1/2003,0.04,,1701,67,,,$5B,$317 ,4.80%,$15 ,,0.061,0.00,0.243,61,62,59,2%,1,0.452,0.518,0.029,17.2M,27.90%,$0B,$0B
Malawi,Africa,12/1/2003,0.04,,957,45,,,$2B,$198 ,6.30%,$13 ,,0.084,0.00,0.489,47,47,47,1%,1,0.461,0.509,0.03,12.2M,14.90%,$0B,$0B
Mali,Africa,12/1/2003,0.05,,539,41,,,$4B,$389 ,6.20%,$24 ,,0.105,0.00,,51,50,51,2%,1,0.462,0.506,0.032,11.2M,30.50%,$0B,$0B
Mauritania,Africa,12/1/2003,0.04,,1474,82,,,$2B,$527 ,5.40%,$23 ,,0.076,0.00,0.21,61,62,59,12%,1,0.42,0.548,0.032,3.0M,51.60%,,
Mauritius,Africa,12/1/2003,0.02,,3146,,,,$6B,"$4,588 ",3.90%,$188 ,,0.014,0.12,0.21,73,76,69,38%,1,0.249,0.687,0.064,1.2M,42.00%,$1B,$0B
Morocco,Africa,12/1/2003,0.02,,37561,36,,11018,$50B,"$1,684 ",5.30%,$88 ,,0.038,0.03,0.126,69,70,67,25%,1,0.32,0.631,0.049,29.6M,54.30%,$4B,$1B
Mozambique,Africa,12/1/2003,0.05,,1918,153,,8063,$5B,$235 ,6.40%,$15 ,,0.099,0.00,0.247,48,49,46,2%,1,0.444,0.525,0.032,19.9M,29.60%,$0B,$0B
Namibia,Africa,12/1/2003,0.03,,1874,85,,1076,$5B,"$2,489 ",6.50%,$162 ,,0.049,0.03,0.147,54,56,52,11%,1,0.401,0.565,0.033,2.0M,34.70%,$0B,$0B
Niger,Africa,12/1/2003,0.05,,880,35,,,$3B,$223 ,6.80%,$15 ,,0.09,0.00,,53,53,53,1%,1,0.486,0.489,0.025,12.3M,16.50%,$0B,$0B
Nigeria,Africa,12/1/2003,0.04,,93138,36,,99007,$68B,$510 ,7.50%,$39 ,,0.103,0.01,0.207,48,48,47,2%,1,0.435,0.538,0.028,132.6M,37.40%,$0B,$2B
Rwanda,Africa,12/1/2003,0.04,,682,18,,,$2B,$202 ,6.30%,$13 ,,0.083,0.00,0.171,52,53,51,1%,1,0.452,0.521,0.027,9.1M,17.60%,$0B,$0B
Sao Tome and Principe,Africa,12/1/2003,0.04,,66,,,,$0B,$687 ,11.80%,$78 ,,0.052,0.10,0.296,64,66,62,3%,1,0.426,0.534,0.04,0.1M,56.30%,$0B,$0B
Senegal,Africa,12/1/2003,0.04,,5013,59,,2556,$7B,$643 ,5.40%,$35 ,,0.062,0.02,,60,61,58,7%,1,0.445,0.524,0.032,10.7M,40.80%,$0B,$0B
Seychelles,Africa,12/1/2003,0.02,,557,,,,$1B,"$8,492 ",4.80%,$403 ,,0.012,0.15,0.106,71,76,66,59%,1,0.258,0.664,0.078,0.1M,50.60%,$0B,$0B
Sierra Leone,Africa,12/1/2003,0.04,,653,26,,,$1B,$291 ,15.50%,$45 ,,0.133,0.00,0.2,41,41,40,2%,1,0.428,0.548,0.024,4.7M,36.40%,$0B,$0B
Somalia,Africa,12/1/2003,0.05,,576,,,,,,,,,0.105,0.00,,52,53,50,3%,1,0.476,0.495,0.029,8.0M,34.40%,,
South Africa,Africa,12/1/2003,0.02,,380811,38,,117374,$168B,"$3,620 ",8.60%,$310 ,,0.053,0.07,0.15,53,54,51,36%,1,0.316,0.645,0.039,46.4M,58.40%,$7B,$4B
South Sudan,Africa,12/1/2003,0.04,,,,,,,,,,,0.095,,,50,51,49,,1,0.444,0.525,0.031,7.4M,16.90%,,
Sudan,Africa,12/1/2003,0.04,,9072,,,14725,$18B,$589 ,3.80%,$23 ,,0.064,0.01,,59,61,57,1%,1,0.435,0.535,0.03,30.0M,32.70%,$0B,$0B
Eswatini,Africa,12/1/2003,0.03,,1041,,,,$2B,"$1,704 ",5.80%,$98 ,,0.082,0.02,0.146,46,46,46,8%,1,0.43,0.539,0.031,1.1M,22.30%,$0B,$0B
Tanzania,Africa,12/1/2003,0.04,,3806,28,,15491,$12B,$317 ,3.70%,$12 ,,0.066,0.01,0.145,52,53,51,4%,1,0.446,0.524,0.03,36.8M,23.60%,$1B,$0B
Togo,Africa,12/1/2003,0.04,,1463,65,,2303,$2B,$318 ,5.60%,$18 ,,0.072,0.01,,54,55,53,5%,1,0.433,0.539,0.028,5.3M,34.30%,$0B,$0B
Tunisia,Africa,12/1/2003,0.02,,21397,11,,8028,$27B,"$2,790 ",5.40%,$151 ,,0.022,0.07,,73,75,71,20%,1,0.272,0.663,0.065,9.8M,64.60%,$2B,$0B
Uganda,Africa,12/1/2003,0.05,,1709,34,,,$6B,$236 ,7.60%,$18 ,,0.077,0.01,0.189,51,51,51,3%,1,0.494,0.481,0.026,26.8M,12.50%,$0B,
Zambia,Africa,12/1/2003,0.05,,2101,35,,6828,$4B,$399 ,6.70%,$27 ,,0.086,0.01,0.406,45,45,44,2%,1,0.464,0.509,0.027,10.9M,35.80%,$0B,$0B
Zimbabwe,Africa,12/1/2003,0.03,,10627,97,,9500,$6B,$452 ,,,,0.058,0.06,0.973,43,42,43,3%,1,0.416,0.549,0.035,12.7M,34.50%,$0B,
Afghanistan,Asia,12/1/2003,0.05,,583,,,,$5B,$198 ,10.00%,$18 ,,0.088,0.00,,56,57,55,1%,1,0.494,0.485,0.02,23.1M,22.20%,,
Armenia,Asia,12/1/2003,0.01,,3429,18,,1981,$3B,$925 ,5.60%,$51 ,,0.023,0.05,0.208,73,76,69,4%,1,0.233,0.655,0.112,3.0M,64.30%,$0B,$0B
Azerbaijan,Asia,12/1/2003,0.01,,30616,105,,12158,$7B,$884 ,6.60%,$57 ,,0.05,,0.155,68,71,65,13%,1,0.28,0.658,0.062,8.2M,52.00%,$0B,$0B
Bangladesh,Asia,12/1/2003,0.03,,33883,50,,21713,$52B,$373 ,3.00%,$11 ,,0.056,0.00,0.16,67,67,66,1%,1,0.354,0.605,0.042,139.2M,25.40%,$0B,$0B
Bhutan,Asia,12/1/2003,0.03,,378,62,,,$1B,"$1,009 ",5.10%,$51 ,,0.051,0.02,0.15,63,63,62,0%,1,0.365,0.595,0.04,0.6M,28.70%,$0B,
Brunei,Asia,12/1/2003,0.02,,5357,,,2505,$7B,"$18,542 ",3.10%,$575 ,,0.008,0.20,0.055,77,79,75,50%,1,0.295,0.675,0.03,0.4M,72.60%,$0B,$0B
Cambodia,Asia,12/1/2003,0.03,,2380,94,,4115,$5B,$360 ,7.30%,$26 ,,0.063,0.00,,65,68,62,4%,1,0.379,0.58,0.041,12.9M,18.90%,$0B,$0B
China,Asia,12/1/2003,0.01,,4525177,48,,1427554,"$1,640B","$1,273 ",4.80%,$61 ,,0.024,0.06,0.053,74,75,72,21%,1,0.225,0.702,0.074,"1,288.4M",39.80%,$19B,$17B
Georgia,Asia,12/1/2003,0.01,,3773,25,,2705,$4B,$922 ,8.50%,$74 ,,0.026,0.03,0.238,73,76,69,16%,1,0.197,0.664,0.139,4.3M,52.40%,$0B,$0B
